Title,URL,Year,Investigation Type,Geographic Keywords,Culture,Language
"            RESUMEN E INTERPRETACION DE RECONOCIMIENTO ARQUEOLOGICO EN LA ZONA DE LA QUEMADA, ZACATECAS, MEXICO (version ingles)             (1976)
",https://core.tdar.org//document/447983/resumen-e-interpretacion-de-reconocimiento-arqueologico-en-la-zona-de-la-quemada-zacatecas-mexico-version-ingles,1976,Reconnaissance / Survey,Mexico; Zacatecas; La Quemada,,"
            English
            "
"            An Archaeological and Historical Survey of Seven Proposed Recreation Resource Sites in the Lower Hillsborough River Flood Detention Area, Hillsborough County, Floridal             (1979)
",https://core.tdar.org//document/454743/an-archaeological-and-historical-survey-of-seven-proposed-recreation-resource-sites-in-the-lower-hillsborough-river-flood-detention-area-hillsborough-county-floridal,1979,"Archaeological Overview, Consultation, Environment Research, Historic Background Research, Methodology, Theory, or Synthesis, Reconnaissance / Survey, Records Search / Inventory Checking, Site Evaluation / Testing","Southwest Florida Water Management District, Lower Hillsborough River Flood Detention Area, Tampa Bay, Hillsbrough Coutny","Archaic, Late Archaic, Middle Archaic, Mississippian, Sites cover about 7,000 or so of prehistory in the Tampa Bay region, Woodland","
            English
            "
"            An experimental comparison of the east Asian, Hellenistic and Indian (Gandharan) stills in relation to the distillation of ethanol and acetic acid             (1980)
",https://core.tdar.org//document/452605/an-experimental-comparison-of-the-east-asian-hellenistic-and-indian-gandharan-stills-in-relation-to-the-distillation-of-ethanol-and-acetic-acid,1980,,,,"
            English
            "
"            Test Excavations at 8Hi450D: An Inland Archaic Occupation in Hillsborough County, Florida             (1981)
",https://core.tdar.org//document/454749/test-excavations-at-8hi450d-an-inland-archaic-occupation-in-hillsborough-county-florida,1981,"Data Recovery / Excavation, Environment Research, Historic Background Research, Research Design / Data Recovery Plan, Site Evaluation / Testing","Hillsborough County, Cow House Creek, Tampa, Interstate 75, Fletcher Ave.","Archaic, Early Archaic, Middle Archaic","
            English
            "
"            HARP 1990 Excavation Forms             (1990)
",https://core.tdar.org//document/455107/harp-1990-excavation-forms,1990,Data Recovery / Excavation,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1990 In-Field and Survey Lithic and Groundstone Tabulation Forms             (1990)
",https://core.tdar.org//document/455118/harp-1990-in-field-and-survey-lithic-and-groundstone-tabulation-forms,1990,"Data Recovery / Excavation, Systematic Survey","Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1990 In-Field Ceramic Tabulation Forms             (1990)
",https://core.tdar.org//document/455113/harp-1990-in-field-ceramic-tabulation-forms,1990,Data Recovery / Excavation,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1990 Survey Ceramic Tabulation Forms             (1990)
",https://core.tdar.org//document/455122/harp-1990-survey-ceramic-tabulation-forms,1990,Systematic Survey,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1990 Survey Forms LZ500-LZ599             (1990)
",https://core.tdar.org//document/455108/harp-1990-survey-forms-lz500-lz599,1990,Systematic Survey,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1990 Survey Forms LZ600-629, LZ650-659             (1990)
",https://core.tdar.org//document/455109/harp-1990-survey-forms-lz600-629-lz650-659,1990,Systematic Survey,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            Mount Pleasant. An Eighteenth-Century Yuchi Indian Town, British Trader Outpost, and Military Garrison in Georgia.             (1990)
",https://core.tdar.org//document/448944/mount-pleasant-an-eighteenth-century-yuchi-indian-town-british-trader-outpost-and-military-garrison-in-georgia,1990,"Historic Background Research, Systematic Survey","Effingham County, Georgia","Historic, YUCHI","
            English
            "
"            HARP 1990-1991 Excavation and Survey Ceramic Tabulations             (1991)
",https://core.tdar.org//document/455115/harp-1990-1991-excavation-and-survey-ceramic-tabulations,1991,"Data Recovery / Excavation, Systematic Survey","Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1990-1991 Excavation Chipped Stone Tabulation Forms             (1991)
",https://core.tdar.org//document/455117/harp-1990-1991-excavation-chipped-stone-tabulation-forms,1991,Data Recovery / Excavation,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1990-1991 Photograph Logs             (1991)
",https://core.tdar.org//document/455119/harp-1990-1991-photograph-logs,1991,Data Recovery / Excavation,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1990-1991 Specimen Logs             (1991)
",https://core.tdar.org//document/455121/harp-1990-1991-specimen-logs,1991,Data Recovery / Excavation,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1990-1991 Survey Chipped Stone Tabulation Forms             (1991)
",https://core.tdar.org//document/455123/harp-1990-1991-survey-chipped-stone-tabulation-forms,1991,Systematic Survey,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1991 Excavation Forms             (1991)
",https://core.tdar.org//document/455110/harp-1991-excavation-forms,1991,Data Recovery / Excavation,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1991 In-Field Ceramic Tabulation Forms             (1991)
",https://core.tdar.org//document/455114/harp-1991-in-field-ceramic-tabulation-forms,1991,Data Recovery / Excavation,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1991 Survey Forms LZ700-799             (1991)
",https://core.tdar.org//document/455111/harp-1991-survey-forms-lz700-799,1991,Systematic Survey,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP 1991 Survey Forms LZ800-864             (1991)
",https://core.tdar.org//document/455112/harp-1991-survey-forms-lz800-864,1991,Systematic Survey,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            HARP Supplemental Documents             (1991)
",https://core.tdar.org//document/455124/harp-supplemental-documents,1991,"Data Recovery / Excavation, Systematic Survey","Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            An Archaeological and Historic Resources Inventory of McGuire Air force Base, New Jersey             (1994)
",https://core.tdar.org//document/447962/an-archaeological-and-historic-resources-inventory-of-mcguire-air-force-base-new-jersey,1994,"Archaeological Overview, Reconnaissance / Survey, Systematic Survey","Burlington (County), McGuire Air Force Base, New Jersey (State / Territory)",Historic,"
            English
            "
"            77th Regional Support Command, Cultural Resource Managment Plan, Fort Dix, Burlington County, New Jersey             (1995)
",https://core.tdar.org//document/447969/77th-regional-support-command-cultural-resource-managment-plan-fort-dix-burlington-county-new-jersey,1995,Heritage Management,"Burlington (County), Fort Dix, New Jersey (State / Territory)","Historic, Prehistoric","
            English
            "
"            Scanned Asset Key, State Route 3003 Relocation along Georges Creek 1995             (1995)
",https://core.tdar.org//document/447975/scanned-asset-key-state-route-3003-relocation-along-georges-creek-1995,1995,"Heritage Management, Historic Background Research, Reconnaissance / Survey","Fayette County (County), Georges Creek, Nicholson Township, Pennsylvania (State / Territory)",,"
            English
            "
"            HARP Heshotauthla Polychrome INAA Results             (1996)
",https://core.tdar.org//document/455120/harp-heshotauthla-polychrome-inaa-results,1996,Data Recovery / Excavation,"Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            ABORIGINAL SETTLEMENT IN THE APALACHEE REGION OF FLORIDA             (1998)
",https://core.tdar.org//document/454748/aboriginal-settlement-in-the-apalachee-region-of-florida,1998,"Archaeological Overview, Environment Research, Historic Background Research, Methodology, Theory, or Synthesis, Records Search / Inventory Checking",,"Archaic, Historic, Mississippian, Norwood, Deptford, Swift Creek, Weeden Island, Fort Walton, Leon-Jefferson, PaleoIndian, Woodland","
            English
            "
"            EMVPP 1998 Survey LZ1200-1247 Survey Forms             (1998)
",https://core.tdar.org//document/455067/emvpp-1998-survey-lz1200-1247-survey-forms,1998,Systematic Survey,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP 1998 Survey Supplemental Documents             (1998)
",https://core.tdar.org//document/455068/emvpp-1998-survey-supplemental-documents,1998,Systematic Survey,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            Stage 1A Cultural Resource Investigations for the Newprt Research Facility (Tanner Hill and Irish Hill) Town of Newport, Herkimer county, New York             (1998)
",https://core.tdar.org//document/447968/stage-1a-cultural-resource-investigations-for-the-newprt-research-facility-tanner-hill-and-irish-hill-town-of-newport-herkimer-county-new-york,1998,"Historic Background Research, Reconnaissance / Survey","Herkimer County (County), Irish Hill, Newport Research Facility, New York (State / Territory), Rome Reserach Facility, Tanner Hill","Historic, Prehistoric","
            English
            "
"            EMVPP 1999 Survey LZ1250-1297 Survey Forms             (1999)
",https://core.tdar.org//document/455069/emvpp-1999-survey-lz1250-1297-survey-forms,1999,Systematic Survey,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP 1999 Survey Supplemental Documents             (1999)
",https://core.tdar.org//document/455070/emvpp-1999-survey-supplemental-documents,1999,Systematic Survey,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            The Los Gigantes Community: Post-Chacoan Settlement in the Zuni Region of the American Southwest             (1999)
",https://core.tdar.org//document/455066/the-los-gigantes-community-post-chacoan-settlement-in-the-zuni-region-of-the-american-southwest,1999,"Data Recovery / Excavation, Systematic Survey","Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            The State of Living History Interpretation in the former North America Colonies of Great Britain             (1999)
",https://core.tdar.org//document/454922/the-state-of-living-history-interpretation-in-the-former-north-america-colonies-of-great-britain,1999,,USA,,"
            English
            "
"            Survey and Evaluation of Cold War Resources, New Boston Air Station, New Boston, New Hampshire             (1999)
",https://core.tdar.org//document/447966/survey-and-evaluation-of-cold-war-resources-new-boston-air-station-new-boston-new-hampshire,1999,"Architectural Documentation, Architectural Survey","New Boston Air Force Station, New Hampshire (State / Territory)",Historic,"
            English
            "
"            An Archaeological and Historical Survey of Bald Point State Park, Franklin County, Florida             (2001)
",https://core.tdar.org//document/454741/an-archaeological-and-historical-survey-of-bald-point-state-park-franklin-county-florida,2001,"Archaeological Overview, Collections Research, Data Recovery / Excavation, Environment Research, Historic Background Research, Methodology, Theory, or Synthesis, Reconnaissance / Survey, Records Search / Inventory Checking, Site Evaluation / Testing","Bald Point, Lighthouse Point, Alligator Point, Ochlockonee Bay, Ochlockonee River, Apalachee Bay, Gulf of Mexico, Panacea","Archaic, Historic, Mississippian, Primarily Woodland and Mississippian sites for prehistoric and historic sites associated with naval stores, timber industry and cattle ranching, Woodland","
            English
            "
"            Das schwarze Loch. Der eisenzeitliche Silo von Menningen im archäologischen Experiment             (2001)
",https://core.tdar.org//document/454917/das-schwarze-loch-der-eisenzeitliche-silo-von-menningen-im-archaologischen-experiment,2001,,Germany,,"
            German
            "
"            HARP Ceramic Tabulation Data Correction             (2001)
",https://core.tdar.org//document/455116/harp-ceramic-tabulation-data-correction,2001,"Data Recovery / Excavation, Systematic Survey","Cibola, Zuni, Zuni Indian Reservation","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            Maelmin, an archaeological guide             (2001)
",https://core.tdar.org//document/452652/maelmin-an-archaeological-guide,2001,,England,,"
            English
            "
"            An Archaeological and Historical Report on Jackson Blue Springs and Merritt's Millpond, Jackson County, Florida             (2002)
",https://core.tdar.org//document/454742/an-archaeological-and-historical-report-on-jackson-blue-springs-and-merritts-millpond-jackson-county-florida,2002,"Archaeological Overview, Collections Research, Consultation, Data Recovery / Excavation, Environment Research, Historic Background Research, Methodology, Theory, or Synthesis, Records Search / Inventory Checking, Research Design / Data Recovery Plan, Site Evaluation / Testing","Jackson Blue Sprint, Merritt's Millpoind, Marianna, Jackson County, Florida","Archaic, former Governor Milton's Plantation-Sylvania is located in this vicinity as well as possibly a Spanish Mission, Historic, Mississippian, PaleoIndian, Woodland","
            English
            "
"            EMVPP 2003 Ceramic Field Tabulation Forms             (2003)
",https://core.tdar.org//document/455090/emvpp-2003-ceramic-field-tabulation-forms,2003,Data Recovery / Excavation,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP 2003 Small Site Testing             (2003)
",https://core.tdar.org//document/455098/emvpp-2003-small-site-testing,2003,Data Recovery / Excavation,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP 2003 Survey LZ1298-1316 Survey Forms             (2003)
",https://core.tdar.org//document/455071/emvpp-2003-survey-lz1298-1316-survey-forms,2003,Systematic Survey,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP 2003 Survey Supplemental Documents             (2003)
",https://core.tdar.org//document/455072/emvpp-2003-survey-supplemental-documents,2003,Systematic Survey,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP 2003-2004 Photography Log             (2003)
",https://core.tdar.org//document/455097/emvpp-2003-2004-photography-log,2003,Data Recovery / Excavation,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP 2003-2004 Survey and Testing Ceramic Tabulations LZ1228-1347, CS195             (2003)
",https://core.tdar.org//document/455100/emvpp-2003-2004-survey-and-testing-ceramic-tabulations-lz1228-1347-cs195,2003,"Data Recovery / Excavation, Systematic Survey","Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP LZ 1201 Excavation Forms, Testing LZ1205,1206,1207,1208,1210,1211             (2003)
",https://core.tdar.org//document/455095/emvpp-lz-1201-excavation-forms-testing-lz120512061207120812101211,2003,Data Recovery / Excavation,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP LZ1209 Excavation Forms             (2003)
",https://core.tdar.org//document/455093/emvpp-lz1209-excavation-forms,2003,Data Recovery / Excavation,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            Excavaciones en el Sitio MV-206 e Investigaciónes Paleobotánicas en la Región de La Quemada: Informe Preliminar al Consejo de Arqueología (INAH). Primer Temporada, 1999 - 2000.             (2003)
",https://core.tdar.org//document/448019/excavaciones-en-el-sitio-mv-206-e-investigaciones-paleobotanicas-en-la-region-de-la-quemada-informe-preliminar-al-consejo-de-arqueologia-inah-primer-temporada-1999-2000,2003,,,,"
            Spanish
            "
"            Abschlussbericht zum Projekt Weltgarten im Steizeitpark Dithmarschen             (2004)
",https://core.tdar.org//document/452589/abschlussbericht-zum-projekt-weltgarten-im-steizeitpark-dithmarschen,2004,,Germany,,"
            German
            "
"            EMVPP 2003 Survey LZ1317-1347 Survey Forms             (2004)
",https://core.tdar.org//document/455088/emvpp-2003-survey-lz1317-1347-survey-forms,2004,Systematic Survey,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP 2003-2004 Faunal Analysis             (2004)
",https://core.tdar.org//document/455092/emvpp-2003-2004-faunal-analysis,2004,Data Recovery / Excavation,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP 2004 Field Tabulation Forms             (2004)
",https://core.tdar.org//document/455091/emvpp-2004-field-tabulation-forms,2004,Data Recovery / Excavation,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP 2004 Small Site Testing             (2004)
",https://core.tdar.org//document/455099/emvpp-2004-small-site-testing,2004,Data Recovery / Excavation,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP LZ1200 Excavation Forms             (2004)
",https://core.tdar.org//document/455094/emvpp-lz1200-excavation-forms,2004,Data Recovery / Excavation,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            EMVPP LZ1204 Excavation Forms             (2004)
",https://core.tdar.org//document/455096/emvpp-lz1204-excavation-forms,2004,Data Recovery / Excavation,"Cibola, El Morro Valley, Zuni","Ancestral Puebloan, Cibola, Zuni","
            English
            "
"            Final Preliminary Results of the Archaeological Examination of the Joe English Pond Dam, Site 27-HS-250, New Boston Air Force Station, Hillsborough County, New Hampshire             (2004)
",https://core.tdar.org//document/447964/final-preliminary-results-of-the-archaeological-examination-of-the-joe-english-pond-dam-site-27-hs-250-new-boston-air-force-station-hillsborough-county-new-hampshire,2004,Consultation,"Hillsborough, New Boston Air Force Station, New Hampshire (State / Territory)",Historic,"
            English
            "
"            A Preliminary Report on Archaeological and Historical Resources within the Recent Addition to Bald Point State Park             (2004)
",https://core.tdar.org//document/454746/a-preliminary-report-on-archaeological-and-historical-resources-within-the-recent-addition-to-bald-point-state-park,2004,"Consultation, Historic Background Research, Records Search / Inventory Checking, Site Evaluation / Testing","Franklin County, Bald Point State Park, Ocklockonee Bay, Alligator Harbor, Ochlockonee River","Historic, middens, ceramic scatters, historic seinyard for mullet, Mississippian, Woodland","
            English
            "
"            San Agustín Faunal Data Paper Copy Scans             (2004)
",https://core.tdar.org//document/448866/san-agustin-faunal-data-paper-copy-scans,2004,Collections Research,"American Southwest, Arizona, Pimería Alta, Sonora","Euroamerican, Historic, Historic Native American, O'odham, Spanish","
            English
            "
"            Mission Cocóspera Faunal Data Paper Copy Scans             (2005)
",https://core.tdar.org//document/455175/mission-cocospera-faunal-data-paper-copy-scans,2005,Collections Research,"Mexico, Pimería Alta, Sonora","Euroamerican, Historic, Historic Native American, O'odham, Spanish","
            English
            "
"            Valle de Cocóspera Archaeological Project: Recent Finds             (2005)
",https://core.tdar.org//document/448541/valle-de-cocospera-archaeological-project-recent-finds,2005,Collections Research,"Mexico, Pimería Alta, Sonora","Euroamerican, Historic, Historic Native American, O'odham, Spanish","
            English
            "
"            Cuocere con la terra...Ovvero l'arte del vasaio             (2006)
",https://core.tdar.org//document/452651/cuocere-con-la-terraovvero-larte-del-vasaio,2006,,ITALY,,"
            Italian
            "
"            Da I’L.S.A. con amore. Progetto miglioramento della qualità della scuola             (2006)
",https://core.tdar.org//document/452639/da-ilsa-con-amore-progetto-miglioramento-della-qualita-della-scuola,2006,,ITALY,,"
            Italian
            "
"            Esperienze come note. Sperimentare in archeologia             (2006)
",https://core.tdar.org//document/452637/esperienze-come-note-sperimentare-in-archeologia,2006,,ITALY,,"
            Italian
            "
"            Esperimenti su strutture di combustione e trattamento di conservazione dei pesci tramite tecniche di affumicazione             (2006)
",https://core.tdar.org//document/452641/esperimenti-su-strutture-di-combustione-e-trattamento-di-conservazione-dei-pesci-tramite-tecniche-di-affumicazione,2006,,ITALY,,"
            Italian
            "
"            Gira — Sole. Di generazione in generazione da Archeoworks ad Archeofamily             (2006)
",https://core.tdar.org//document/452638/gira-sole-di-generazione-in-generazione-da-archeoworks-ad-archeofamily,2006,,ITALY,,"
            Italian
            "
"            I gesti nelle tracce. Le potenzialità dello studio delle microtracce tecnologiche sui manufatti ossei per la comprensione del ruolo del primo metallo preistorico             (2006)
",https://core.tdar.org//document/452644/i-gesti-nelle-tracce-le-potenzialita-dello-studio-delle-microtracce-tecnologiche-sui-manufatti-ossei-per-la-comprensione-del-ruolo-del-primo-metallo-preistorico,2006,,ITALY,,"
            Italian
            "
"            La magie, con la bacchetta… Gli inrecci, con il satice. Messagi intrecciati: ispirazioni visive alla creativita             (2006)
",https://core.tdar.org//document/452650/la-magie-con-la-bacchetta-gli-inrecci-con-il-satice-messagi-intrecciati-ispirazioni-visive-alla-creativita,2006,,ITALY,,"
            Italian
            "
"            Latte... Seconda conVerSazione             (2006)
",https://core.tdar.org//document/452649/latte-seconda-conversazione,2006,,ITALY,,"
            Italian
            "
"            Long way. I 15 anni di Esperienza dei Servizi Educativi della Soprintendenza             (2006)
",https://core.tdar.org//document/452645/long-way-i-15-anni-di-esperienza-dei-servizi-educativi-della-soprintendenza,2006,,ITALY,,"
            Italian
            "
"            Ma come facevano a fare… Laboratori di archeologia sperimentale             (2006)
",https://core.tdar.org//document/452648/ma-come-facevano-a-fare-laboratori-di-archeologia-sperimentale,2006,,ITALY,,"
            Italian
            "
"            Mille sassi sulla via. Attività sperimentale con punte di freccia del Mesolitico antico             (2006)
",https://core.tdar.org//document/452643/mille-sassi-sulla-via-attivita-sperimentale-con-punte-di-freccia-del-mesolitico-antico,2006,,ITALY,,"
            Italian
            "
"            Ogni terra un nome, ogni nome un fiore… Noi agricoltori... neolitici: archeologia sperimentale e didattica dell'archeologia a Pozzuolo del Friuli             (2006)
",https://core.tdar.org//document/452646/ogni-terra-un-nome-ogni-nome-un-fiore-noi-agricoltori-neolitici-archeologia-sperimentale-e-didattica-dellarcheologia-a-pozzuolo-del-friuli,2006,,ITALY,,"
            Italian
            "
"            Organizational Change and Intellectual Production: The Case Study of Hohokam Archaeology             (2006)
",https://core.tdar.org//document/454751/organizational-change-and-intellectual-production-the-case-study-of-hohokam-archaeology,2006,Archaeological Overview,,Hohokam,"
            English
            "
